word,entity_type,frequency,source
吴,PERSON,35,NER+Jieba
pushing,PERSON,35,NER
一秒钟,TIME,35,NER+Jieba
123,CARDINAL,35,NER
厦门,GPE,35,NER+Jieba
18,CARDINAL,35,NER
李,PERSON,35,NER+Jieba
〖云,PERSON,35,NER
王政典,PERSON,35,NER+Jieba
GALI,PERSON,35,NER
澳门,GPE,34,NER+Jieba
梵高,PERSON,34,NER+Jieba
going,DATE,34,NER
emo,PERSON,34,NER
夏日,DATE,34,NER+Jieba
ceo,ORG,34,NER
人民南路,FAC,34,NER
23,CARDINAL,34,NER
星期五,DATE,34,NER+Jieba
金牌,WORK_OF_ART,34,NER+Jieba
Gonna,PERSON,34,NER
加州,GPE,34,NER+Jieba
Flexing,PERSON,34,NER
浦西designer,PERSON,34,NER
爽子,PERSON,34,NER+Jieba
欧洲,LOC,33,NER+Jieba
猎豹,ORG,33,NER+Jieba
三分钟,TIME,33,NER+Jieba
天台,GPE,33,NER+Jieba
周润发,PERSON,33,NER+Jieba
孙悟空,WORK_OF_ART,33,NER+Jieba
周杰伦,PERSON,33,NER+Jieba
茅台,ORG,33,NER+Jieba
北极,LOC,33,NER+Jieba
宋,PERSON,33,NER+Jieba
沪,GPE,33,NER+Jieba
于洋,PERSON,33,NER+Jieba
Capper,PERSON,33,NER
Until,WORK_OF_ART,33,NER
何飚,PERSON,33,NER+Jieba
VVS,ORG,32,NER
昨日,DATE,32,NER+Jieba
nasty,GPE,32,NER
Man,WORK_OF_ART,32,NER
Pablo,PERSON,32,NER
二十岁,DATE,32,NER+Jieba
第一天,DATE,32,NER+Jieba
lord,PRODUCT,32,NER
Wegowegowe,PERSON,32,NER
numb,PERSON,32,NER
张碟,PERSON,32,NER+Jieba
文月,PERSON,32,NER
沥下,PERSON,32,NER
Baka,PERSON,32,NER
Represent,PERSON,31,NER
18岁,DATE,31,NER
后天,DATE,31,NER+Jieba
Warner,PERSON,31,NER
坨子,ORG,31,NER+Jieba
17年,DATE,31,NER
十字路口,CARDINAL,31,NER+Jieba
张雪飞,PERSON,31,NER+Jieba
ninja,PERSON,31,NER
长安,FAC,31,NER+Jieba
希介,PERSON,31,NER+Jieba
刘聪Key,PERSON,31,NER
春夏秋冬,DATE,31,NER+Jieba
Fendi,PERSON,31,NER
黄辉媛,PERSON,31,NER+Jieba
孔TOWN,PERSON,31,NER
Rambo,PRODUCT,31,NER
Miami,GPE,31,NER
尹,PERSON,31,NER+Jieba
十八岁,DATE,30,NER+Jieba
五十,CARDINAL,30,NER+Jieba
Everyday,PRODUCT,30,NER
粤语,LANGUAGE,30,NER+Jieba
泰国,GPE,30,NER+Jieba
Yah,PRODUCT,30,NER
نى,PERSON,30,NER
Put,CARDINAL,30,NER
徐培霖,PERSON,30,NER+Jieba
王季辰,PERSON,30,NER+Jieba
张,PERSON,30,NER+Jieba
18年,DATE,30,NER
130,CARDINAL,30,NER
bro,ORG,30,NER
་ག,TIME,30,NER
པའ,PERSON,30,NER
Family,PERSON,30,NER
赵山河,PERSON,30,NER
辽宁,GPE,30,NER+Jieba
王位,PERSON,29,NER+Jieba
三秒,TIME,29,NER+Jieba
19年,DATE,29,NER
Prada,ORG,29,NER
百年,DATE,29,NER+Jieba
Rain,PERSON,29,NER
nose,PERSON,29,NER
大理,GPE,29,NER+Jieba
broski,ORG,29,NER
泰山,LOC,29,NER+Jieba
90,CARDINAL,29,NER
二十,CARDINAL,29,NER+Jieba
罗言,ORG,29,NER+Jieba
万里,PERSON,29,NER+Jieba
江浙,LOC,29,NER+Jieba
八英里,QUANTITY,29,NER
Yamazaki,PERSON,29,NER
几千,CARDINAL,29,NER+Jieba
千百,CARDINAL,29,NER+Jieba
十二,CARDINAL,29,NER+Jieba
Record,PRODUCT,29,NER
RAPSTA,PERSON,29,NER
张大炮,PERSON,29,NER
ohh,PERSON,28,NER
日,GPE,28,NER
金字塔,FAC,28,NER+Jieba
唱业,GPE,28,NER
5分钟,TIME,28,NER
11,CARDINAL,28,NER
mc,PERSON,28,NER
5G,MONEY,28,NER
大陆,GPE,28,NER+Jieba
ganggang,PERSON,28,NER
汉堡,GPE,28,NER+Jieba
GOSH,ORG,28,NER
24小时,TIME,28,NER
宝马,PRODUCT,28,NER+Jieba
Kungfu,PERSON,28,NER
gentleman,PERSON,28,NER
StarNation,WORK_OF_ART,28,NER
Cause,DATE,28,NER
sh!t,PERSON,28,NER
两年前,DATE,28,NER
星期一,DATE,28,NER+Jieba
moveing,PERSON,28,NER
DG,ORG,27,NER
两天,DATE,27,NER+Jieba
珠江,LOC,27,NER+Jieba
just,DATE,27,NER
半小时,TIME,27,NER+Jieba
几年前,DATE,27,NER
oZ,PERSON,27,NER
梁笑生,PERSON,27,NER+Jieba
ouu,PERSON,27,NER
Enemy,PRODUCT,27,NER
Slimboy,PERSON,27,NER
now,PERSON,27,NER
这两年,DATE,27,NER
TOYOK,PERSON,27,NER
武侯区,GPE,27,NER+Jieba
江西,GPE,27,NER+Jieba
ᠭᠡ,GPE,27,NER
78哥们,CARDINAL,27,NER
Saddoggy,PRODUCT,27,NER
张晗,PERSON,27,NER+Jieba
GHETTO,PERSON,26,NER
十万,CARDINAL,26,NER+Jieba
GOD,PERSON,26,NER
第四,ORDINAL,26,NER+Jieba
glory,PERSON,26,NER
石家庄,GPE,26,NER+Jieba
Rappers,PERSON,26,NER
Kanye,PERSON,26,NER
凌晨三点,TIME,26,NER
果果,PERSON,26,NER+Jieba
北京）有限公司,ORG,26,NER
陈国威,PERSON,26,NER
武昌,GPE,26,NER+Jieba
box,PRODUCT,26,NER
五年前,DATE,26,NER
哈哈哈哈哈哈哈哈哈哈,PERSON,26,NER
93,CARDINAL,26,NER
(We,DATE,26,NER
dying,PERSON,26,NER
Mixing,PERSON,26,NER
胡天渝,PERSON,26,NER
ེ་,PERSON,26,NER
win,PERSON,26,NER
GHM,ORG,26,NER
芝加哥,GPE,25,NER+Jieba
China,ORG,25,NER
几十万,CARDINAL,25,NER+Jieba
1234,CARDINAL,25,NER
freaking,PERSON,25,NER
六点,TIME,25,NER+Jieba
伦敦,GPE,25,NER+Jieba
ھا,PERSON,25,NER
man,PRODUCT,25,NER
Johnny,PERSON,25,NER
散落海,PERSON,25,NER
七年,DATE,25,NER+Jieba
2021,DATE,25,NER
吉丁,PERSON,25,NER+Jieba
Saturday,DATE,25,NER
TangoZ,PERSON,25,NER
nightmare,PERSON,25,NER
一整天,DATE,25,NER+Jieba
日本,GPE,25,NER+Jieba
Teriyaki,PERSON,25,NER
威龙,FAC,25,NER+Jieba
昆明,GPE,25,NER+Jieba
法国,GPE,25,NER+Jieba
Max马俊,PERSON,25,NER
阿童木,PERSON,25,NER+Jieba
吴彦祖,PERSON,25,NER+Jieba
咋哩,PERSON,25,NER
老子们,EVENT,24,NER
陆放,PERSON,24,NER+Jieba
大天才,LOC,24,NER
悟空,PERSON,24,NER+Jieba
Warner Music Beijing Co.,ORG,24,NER
郭凯翌,PERSON,24,NER+Jieba
谢奇笛,PERSON,24,NER
莫得法,PERSON,24,NER+Jieba
古巴,GPE,24,NER+Jieba
Phone6,PERSON,24,NER
高宇豪,PERSON,24,NER+Jieba
两分钟,TIME,24,NER+Jieba
上午,TIME,24,NER+Jieba
一百米,QUANTITY,24,NER+Jieba
重庆,NORP,24,NER+Jieba
三十岁,DATE,24,NER+Jieba
兰博,PERSON,24,NER+Jieba
WE,ORG,24,NER
一百年,DATE,24,NER+Jieba
TizzyT,PERSON,24,NER
第六,ORDINAL,24,NER+Jieba
DBL,PERSON,24,NER
七天,DATE,24,NER+Jieba
永富,PERSON,24,NER+Jieba
十几,CARDINAL,24,NER+Jieba
Summer,DATE,24,NER
ODE,PERSON,24,NER
几岁,DATE,24,NER+Jieba
莎士比亚,PERSON,24,NER+Jieba
五百,CARDINAL,24,NER+Jieba
刘勇,PERSON,24,NER+Jieba
昨天晚上,TIME,24,NER+Jieba
二八百,CARDINAL,24,NER
阿表哥,PERSON,24,NER
阿表妹,PERSON,24,NER
Historrrrry,PERSON,24,NER
ོ་,DATE,24,NER
⽼⼦,CARDINAL,24,NER
.....................................................................................................,PERSON,24,NER
八个小时,TIME,24,NER
陈楚生,PERSON,24,NER+Jieba
(ASCAP),PERSON,24,NER
红头发,PERSON,24,NER+Jieba
黑娃儿,ORG,23,NER
孟菲斯,GPE,23,NER+Jieba
0,CARDINAL,23,NER
迪拜,GPE,23,NER+Jieba
Eminem,PERSON,23,NER
barber,PERSON,23,NER
一亩,QUANTITY,23,NER+Jieba
3000,CARDINAL,23,NER
三年前,DATE,23,NER
لى,PERSON,23,NER
نى,ORDINAL,23,NER
tho,PERSON,23,NER
Taking,PERSON,23,NER
120,CARDINAL,23,NER
雅典,ORG,23,NER+Jieba
Going,PERSON,23,NER
撒浪,PERSON,23,NER
coco,ORG,23,NER
光明,PERSON,23,NER+Jieba
losing,PERSON,23,NER
17岁,DATE,23,NER
Drinking,PERSON,23,NER
bratha,ORG,23,NER
南极,LOC,23,NER+Jieba
沈子,PERSON,23,NER+Jieba
尹冲,PERSON,23,NER+Jieba
2024,DATE,22,NER
几万,CARDINAL,22,NER+Jieba
trash,PERSON,22,NER
goat,GPE,22,NER
徐真真,PERSON,22,NER
巴西,GPE,22,NER+Jieba
海口,GPE,22,NER+Jieba
五星级,CARDINAL,22,NER+Jieba
李毅杰,PERSON,22,NER+Jieba
普通话,LANGUAGE,22,NER+Jieba
47,CARDINAL,22,NER
好莱坞,ORG,22,NER+Jieba
Lalalalalalalalala,PERSON,22,NER
一斤,QUANTITY,22,NER+Jieba
nomadic,PERSON,22,NER
多年后,DATE,22,NER
荣,PERSON,22,NER
下个月,DATE,22,NER+Jieba
港,GPE,22,NER+Jieba
保时捷,ORG,22,NER+Jieba
王晓夫,PERSON,22,NER+Jieba
Hallo,PERSON,22,NER
雪花,PERSON,22,NER+Jieba
223,CARDINAL,22,NER
孙,PERSON,22,NER+Jieba
See,PRODUCT,22,NER
华仔,PERSON,22,NER+Jieba
莫斯科,GPE,22,NER+Jieba
七分,CARDINAL,22,NER+Jieba
hurt me,PERSON,22,NER
马里奥,PERSON,22,NER+Jieba
Merry Christmas,DATE,22,NER
Michael,PERSON,22,NER
王泓漓,PERSON,22,NER+Jieba
河北,GPE,22,NER+Jieba
下关,GPE,22,NER+Jieba
八点,TIME,21,NER+Jieba
巴卜,GPE,21,NER
wa,GPE,21,NER
成都市,GPE,21,NER+Jieba
北门,FAC,21,NER+Jieba
潮汕,LOC,21,NER+Jieba
Tupac,PERSON,21,NER
